,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Gonzaga,135.6,90.8,0.99,2–0,2,2,61.8,44.6,37.7,17.4,14,14.8,27.3,27.6,64.2,56.1,39.7,47.5,34,16.2,6.1,69.6,48.9,37.7,43.8,66.1,78.049,80.975,2.288,"2,023",0,0,76.84,,75,76.2,1.253,0.965,39.522,Gonzaga
2,Alabama,119.9,80.4,0.99,3–0,3,3,51.8,35,22.1,25.3,17.8,14.9,39.3,30.8,67.3,54.4,34.3,33,24.5,12.4,10,67.1,33.3,52.6,27.9,68.2,78.11,82.022,1.108,"2,023",0,0,64.325,,69,83.3,1.12,0.857,37.73,Alabama
3,Texas,110.9,76.5,0.986,3–0,3,3,46.8,39.3,30.8,27.2,16.3,24.1,26.4,30.5,67.7,50.4,39.3,25.5,26.3,9.8,9.1,45.9,45.8,29.7,33.7,66.1,76.548,79.355,2.206,"2,023",0,0,67.933,,79.2,65.2,1,0.803,45.938,Texas
4,Memphis,124,85.9,0.986,3–0,3,3,55.2,37.9,34.3,34.9,15.7,18.9,27.7,37.7,72.1,48.3,38.3,45.9,25,13.9,15.8,58.1,51.6,33.7,41,72.5,76.839,80.157,2.798,"2,023",0,0,47.928,,80.6,69.1,1.155,0.901,40.39,Memphis
5,Duke,128.1,91.9,0.979,3–0,3,3,61.4,46.6,42.2,34.6,16,14.5,28.6,23.8,64.4,60.6,49.5,41.8,27.9,7.9,7.1,65.1,49.3,35.7,37.7,65.9,79.071,82.706,0.89,"2,023",0,0,81.27,,78.5,80.4,1.242,1.014,33.408,Duke
6,Marquette,111.5,82.7,0.969,3–0,3,3,47.8,41.3,23.2,26.5,15.5,21.3,24.8,38.8,65.7,50.5,40,30,29,6.7,12.1,56.2,51.5,49.7,36.5,62.8,77.184,80.511,1.289,"2,023",0,0,58.93,,81,66,1.003,0.916,44.65,Marquette
7,Florida Atlantic,108.8,81.7,0.964,3–0,3,3,52.9,36.5,31.8,21.9,19.7,15.8,30.2,26.7,69.4,58.9,40,28.6,20.8,6.1,3.7,39.5,24.2,37.1,40.1,68.3,76.023,79.179,2.037,"2,023",0,0,17.425,,75.9,76.2,1.061,0.826,18.143,Florida Atlantic
8,Drake,120.3,90.7,0.963,3–0,3,3,59.2,41.4,32,21.3,14.2,14.7,25.3,25.7,61.2,56.2,42.6,43.8,25.9,7.8,3.8,48.8,50.8,31.4,32,63.1,76.348,80.119,2.262,"2,023",0,0,12.047,,71.4,69.4,1.176,0.898,14.445,Drake
9,Arizona,118.4,92,0.948,3–0,3,3,60.3,45.6,34.5,26.9,18.2,16.3,27.7,24.8,69.7,57.9,43.5,43.1,32.4,5.6,9.3,60.9,54.9,35.2,40.7,70.2,78.47,82.47,1.982,"2,023",0,0,73.32,,61.4,73.5,1.119,0.966,40.328,Arizona
10,Kansas,110.7,86.6,0.944,2–1,2,3,53.6,48.8,26.7,20.8,20.9,21.8,24.2,28.4,68.7,57.8,52,30.4,27.1,5.6,4.6,43.8,47.4,33.9,27.7,68.7,77.449,80.184,1.524,"2,023",0,0,69.613,,63.6,72.2,0.995,0.947,51.844,Kansas
