,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team
1,Kentucky,117.9,82.7,0.983,31–0,31,31,51.6,39.4,42.7,31.3,16.5,22.3,40.3,31.7,64,51.9,38.7,34.1,27.4,18.7,5.8,56.8,40.7,28.5,31.5,63.7,79.292,83.308,0.732,"2,015",-0.1,0.65,95.498,,71.1,64.5,1.153,0.825,26.652,Kentucky
2,Wisconsin,125.6,91.1,0.976,28–3,28,31,54.3,46.1,36.1,22,12.6,16.8,31.9,23.7,59.7,55.3,43.7,35.1,35.2,9.4,5.7,48.9,39,36.5,26.6,59.6,79.203,82.389,2.077,"2,015",1.8,1.65,67.699,,75.4,67.1,1.196,0.93,29.065,Wisconsin
3,Virginia,113.6,83.3,0.973,28–2,28,30,51.3,41.3,33.6,26.7,15.7,17.6,34.5,24.2,58.3,50.2,39,36.2,30.2,13.6,7,54.7,49,27.4,36.5,58.3,78.344,80.638,1.652,"2,015",-1.8,-1.371,73.465,,71.6,64.4,1.115,0.856,29.35,Virginia
4,Duke,124.6,93.3,0.965,28–3,28,31,57,47.5,41.2,24.3,16.9,18.9,37.5,29.7,67,56.1,47.1,39.2,32.3,8.7,8.4,55,47.2,35,27.8,67.1,77.534,81.331,1.062,"2,015",2.8,2.65,95.491,,69.1,68.8,1.204,0.973,32.875,Duke
5,Arizona,115.3,86.6,0.964,28–3,28,31,53.6,44.4,47.9,37.7,16.9,21.3,34.3,22.6,67.1,53.7,42.3,35.6,32.5,10.2,6.3,52.8,49.5,25.3,32.1,67.3,77.836,81.471,1.481,"2,015",-0.2,0.629,82.563,,69.6,68.6,1.138,0.875,24.058,Arizona
6,Villanova,120.4,92.3,0.955,29–2,29,31,55,45.9,43.8,30.7,16.4,21.6,32.9,30.4,65.4,53.2,45.4,38.3,31.3,10.9,9,62.5,53.3,42.5,32.4,65.1,77.403,79.912,1.885,"2,015",-1.9,-2.35,67.053,,72.9,68.2,1.163,0.934,26.702,Villanova
7,Gonzaga,120.2,92.4,0.954,28–2,28,30,58.3,43.5,38.3,31.9,16.4,17.7,34.5,28.2,64.5,57.3,41.2,40.3,32.5,8.3,6.1,57.5,45.3,32.3,30.9,64.9,78.235,82.716,2.111,"2,015",0.6,0.629,61.37,,69.8,65.4,1.2,0.931,20.47,Gonzaga
8,Utah,114.8,88.4,0.953,22–7,22,29,55.5,42.3,43.4,35.1,17.8,18.4,30.6,28.6,62.8,53.3,40.6,39.5,31.2,13.6,10.8,57.9,44.7,37.8,28.1,61.7,77.76,81.657,1.554,"2,015",0.2,0.886,27.543,,70.2,66.4,1.136,0.902,27.085,Utah
9,North Carolina,117.8,91.6,0.948,21–10,21,31,51,45,35.4,36.9,18.1,17.9,40.5,31,69.6,51.1,45.5,33.8,29.5,12.4,8.9,60.6,52.5,22.1,37.2,70.2,77.336,80.84,1.309,"2,015",0.3,0.464,89.438,,69.6,67.5,1.113,0.971,36.187,North Carolina
10,Oklahoma,110.3,87.5,0.935,21–9,21,30,49.8,43.7,32.9,29.2,17.8,20.5,30.6,32.1,68.5,48.8,42,34.6,31.3,13.1,9.6,49.1,49.4,33.5,33.6,68.5,76.85,80.051,1.824,"2,015",0.2,0.136,58.549,,72.7,65.7,1.05,0.914,32.733,Oklahoma
11,Baylor,116.4,92.8,0.931,22–8,22,30,50.1,45.6,38.3,31.6,19.6,19.3,42.3,31.6,62.4,45.7,46.3,39.3,29.5,11.2,10.9,60.7,70.3,33.2,35.9,62,76.311,79.972,1.871,"2,015",-1.4,-1.864,33.696,,66.2,64.5,1.103,0.953,30.718,Baylor
12,Wichita St.,114.6,91.6,0.929,26–3,26,29,50.9,45.2,36.2,37,15.3,21.4,34.9,26.5,61.1,48.7,42.6,36.7,34.3,11.2,9.7,56.7,45.1,35.5,29.9,62.4,75.619,78.755,1.835,"2,015",0.5,1.093,11.93,,69.6,67.1,1.124,0.906,18.686,Wichita St.
13,Louisville,108.2,86.8,0.927,24–7,24,31,48.2,43.3,39.1,34.9,17.7,21.9,35.2,31,66.1,49,43.3,30.9,28.9,15,7,47.7,55.1,32.5,31.9,66.1,76.847,81.129,1.458,"2,015",1.5,1.464,79.783,,66.2,64.5,1.047,0.891,31.275,Louisville
14,Kansas,114.4,92.2,0.923,24–7,24,31,49.6,44.7,42.2,33.1,18.7,17.4,35.4,32.1,66.6,46.4,43.1,38.3,32,12.8,13.2,55.3,49.7,28.8,32.4,67.2,77.516,80.336,0.974,"2,015",-0.6,-1.371,83.717,,72.1,66.8,1.074,0.973,36.35,Kansas
15,Ohio St.,114.2,92.3,0.92,22–9,22,31,54.8,46.1,34.2,27.5,16.8,22.5,34.1,31.4,66.1,54.1,45.2,37.6,31.7,14.8,6.9,54.9,56.9,31.9,38.1,66.6,77.558,80.223,1.599,"2,015",0.2,0.379,88.173,,67.3,70,1.146,0.929,26.984,Ohio St.
16,Michigan St.,114.1,92.3,0.92,21–10,21,31,53.9,45.2,32.2,38.1,18,17,34.7,25.7,63.5,51.4,44.3,39,31.1,13,7.2,64.2,48.8,34.9,34.8,64.4,76.178,79.412,1.848,"2,015",2.9,3.093,62.703,,62.7,71.2,1.106,0.965,28.667,Michigan St.
