Rk,Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Year
11,Houston,116.59,91.622,0.941,33–4,33,37,52.1,42.5,31.6,37.3,16.5,18.2,34.4,26.0,67.2,51.3,43.0,35.5,27.9,13.4,6.4,55.6,49.9,42.6,41.1,65.754,76.192,78.923,1.802,-0.059,0.136,36.791,70.3,69.4,1.121,0.909,23.237,2019
12,Auburn,122.02,96.411,0.938,29–10,29,39,54.4,51.7,30.9,36.4,16.8,24.6,31.6,32.8,68.7,51.7,51.4,38.1,34.8,15.4,12.1,52.4,52.2,49.6,43.4,67.826,76.563,79.991,2.174,2.247,2.886,57.754,71.3,71.0,1.141,0.998,35.933,2019
13,Virginia Tech,118.63,94.537,0.932,26–9,26,35,55.6,49.0,31.9,26.3,17.3,21.6,29.6,27.2,64.4,52.9,49.0,39.4,32.7,8.4,9.9,59.5,56.5,43.7,49.9,63.632,76.946,79.227,1.91,0.082,0.464,66.436,76.1,72.2,1.135,0.958,31.378,2019
14,Kansas St.,108.776,88.974,0.91,25–9,25,34,49.4,48.2,30.6,30.7,17.4,22.8,28.3,25.7,65.0,48.9,49.0,33.4,31.4,7.7,8.2,57.6,54.5,38.4,42.9,63.417,76.626,79.942,2.149,-1.429,-1.536,48.118,66.7,67.4,1.012,0.917,32.209,2019
15,Florida St.,112.503,92.049,0.91,29–8,29,37,50.5,47.2,35.8,35.7,18.9,20.3,32.8,27.0,69.4,50.9,45.3,33.2,33.5,12.7,8.4,49.5,43.8,37.7,38.8,68.509,78.662,81.864,1.929,0.429,0.464,59.895,74.4,72.2,1.066,0.956,33.275,2019
16,Iowa St.,119.126,97.807,0.906,23–12,23,35,54.7,48.4,30.0,23.6,16.3,18.8,28.3,30.1,68.6,55.0,47.1,36.2,33.6,12.5,7.4,54.1,49.9,39.6,39.2,67.601,77.656,79.614,1.485,-1.14,-1.079,56.016,73.2,71.7,1.122,0.994,33.279,2019
17,Kansas,113.732,93.676,0.903,26–10,26,36,52.6,47.8,32.5,27.8,18.8,18.2,30.1,27.9,70.6,52.6,46.0,35.0,33.6,10.9,8.9,48.3,52.7,34.9,41.8,69.963,77.524,80.449,1.073,-0.426,-0.536,89.423,70.5,68.6,1.062,0.984,38.579,2019
18,LSU,118.691,97.853,0.902,28–7,28,35,51.2,49.9,37.1,33.1,17.9,20.1,36.7,30.8,70.5,52.9,49.4,31.9,33.7,11.8,7.9,45.7,44.4,34.2,40.0,69.714,77.191,80.572,1.102,0.447,0.136,66.287,75.2,69.0,1.114,1.012,31.682,2019
19,Wisconsin,108.965,89.839,0.902,23–11,23,34,51.1,45.2,27.3,25.8,14.6,17.2,24.5,26.5,64.8,49.7,44.1,35.9,31.5,11.0,10.8,49.2,45.5,34.6,35.0,63.444,77.318,81.283,1.84,-1.071,-1.114,59.597,64.8,66.8,1.04,0.936,37.002,2019
20,Louisville,113.707,94.265,0.896,20–14,20,34,50.9,46.7,34.9,32.0,17.5,16.1,29.1,25.9,68.4,50.6,46.0,34.2,32.0,7.6,10.6,53.6,47.9,43.7,37.2,67.089,76.75,80.459,1.928,-1.018,-0.907,53.581,77.7,69.5,1.074,0.985,35.412,2019
21,UCF,113.589,94.39,0.894,24–9,24,33,52.9,45.4,45.3,29.2,17.6,18.0,29.5,29.6,67.1,52.0,44.5,36.5,31.3,12.6,8.1,53.6,53.5,35.6,38.4,64.86,78.779,83.748,2.283,0.227,0.4,28.974,64.9,65.0,1.073,0.958,24.931,2019
22,Mississippi St.,117.685,97.982,0.892,23–11,23,34,54.6,50.3,32.7,32.1,19.2,19.5,34.7,29.6,68.5,53.4,48.4,37.7,35.7,14.0,10.1,51.2,50.6,39.1,36.6,67.535,77.708,81.887,1.657,-1.222,-1.114,82.586,71.7,71.5,1.12,1.021,31.934,2019
23,Florida,111.134,92.853,0.888,20–16,20,36,49.8,48.1,29.9,33.6,17.9,22.4,30.6,32.2,64.6,49.5,48.5,33.4,31.6,11.0,9.1,51.0,48.3,43.3,38.1,62.757,77.265,79.585,1.39,0.216,0.379,79.849,72.1,69.3,1.038,0.973,35.863,2019
24,Wofford,117.308,98.155,0.886,27–5,27,32,57.5,49.9,27.8,31.8,16.1,19.1,31.8,25.2,67.9,53.9,50.6,41.4,32.6,8.9,7.5,49.9,48.4,43.9,39.9,65.606,76.813,80.659,1.792,-0.02,0.093,1.063,71.0,70.9,1.176,0.984,20.688,2019
25,Cincinnati,113.15,94.975,0.882,28–7,28,35,49.0,48.6,37.6,30.5,16.0,20.9,37.4,29.3,64.9,47.6,45.1,34.5,35.5,14.5,9.4,53.4,50.7,33.3,42.8,63.523,76.833,80.351,1.891,-0.915,-0.907,51.633,70.4,66.3,1.098,0.959,24.958,2019
26,VCU,105.572,88.688,0.881,25–8,25,33,50.1,43.5,35.7,36.6,20.0,23.4,31.0,30.6,69.0,53.1,43.8,30.5,28.5,12.2,7.9,54.9,50.7,41.2,33.2,68.21,77.446,79.432,1.496,-0.641,-0.7,39.794,70.1,69.0,1.021,0.891,18.461,2019
27,Maryland,112.399,94.511,0.88,23–11,23,34,51.4,45.9,32.8,26.6,19.4,14.1,34.1,24.8,66.6,50.8,44.7,34.9,31.9,13.4,9.8,52.1,52.1,37.0,39.4,66.195,77.8,81.101,0.692,-0.128,-0.079,78.823,74.3,72.3,1.073,0.985,33.882,2019
28,Buffalo,114.537,96.391,0.879,31–4,31,35,53.4,47.3,32.7,31.9,16.0,20.3,31.7,26.9,74.5,55.7,49.3,33.7,29.3,10.0,8.6,54.8,40.3,44.1,35.9,73.436,76.493,79.782,2.316,0.103,-0.079,7.39,68.4,70.5,1.127,0.954,18.988,2019
29,Oklahoma,111.252,94.301,0.87,20–14,20,34,50.4,47.5,31.3,23.1,17.0,17.3,25.8,27.8,69.3,49.7,45.8,34.6,33.3,8.3,9.5,48.7,49.8,33.1,41.3,68.791,77.409,80.585,2.126,0.259,0.4,58.325,69.7,67.2,1.025,0.98,36.795,2019
30,Oregon,108.971,92.767,0.864,25–13,25,38,52.0,46.4,29.4,33.9,17.8,20.9,29.6,28.8,65.3,51.6,48.8,35.1,29.0,14.6,8.0,52.2,55.0,39.5,45.4,63.855,78.551,81.533,1.237,1.368,1.486,80.047,72.1,70.2,1.065,0.946,23.647,2019
31,Saint Mary's,114.117,97.413,0.861,22–12,22,34,53.8,48.9,29.1,29.1,16.2,16.3,31.2,23.0,64.2,52.3,49.2,37.8,32.1,6.9,9.2,37.9,43.1,35.2,31.6,62.56,77.747,81.115,1.414,-0.755,-0.607,27.239,74.2,73.6,1.125,0.998,22.957,2019
32,Nevada,113.521,96.954,0.86,29–5,29,34,53.7,47.7,40.8,28.0,14.6,19.2,27.2,24.9,70.7,54.9,46.3,34.7,33.2,11.2,7.4,53.4,51.7,42.8,39.9,69.307,78.179,80.687,2.696,-0.54,-0.907,35.414,70.8,67.6,1.133,0.944,16.354,2019
33,Syracuse,111.272,95.356,0.855,20–14,20,34,49.6,48.1,36.8,34.3,18.5,23.1,30.2,33.4,67.1,49.3,46.9,33.3,32.9,16.8,9.9,50.5,67.8,43.2,48.1,65.814,79.404,82.21,1.632,-0.671,-0.7,73.806,68.5,72.1,1.035,0.98,30.579,2019
34,Marquette,112.576,97.041,0.847,24–10,24,34,53.5,46.3,35.1,35.9,19.4,16.6,29.4,26.1,70.7,50.0,45.1,38.8,32.4,11.2,8.9,51.1,51.0,41.7,35.6,68.949,77.863,80.718,1.536,-0.926,-1.114,71.641,75.7,67.9,1.082,0.973,24.47,2019
35,Villanova,115.51,100.106,0.838,26–10,26,36,53.2,50.4,34.4,28.2,16.9,18.0,30.3,27.7,65.3,53.7,49.7,35.2,34.3,8.7,8.8,56.9,56.1,53.5,39.7,63.544,77.874,80.324,1.66,0.377,-0.079,68.466,72.8,70.0,1.118,1.022,27.142,2019
36,Mississippi,114.034,99.03,0.835,20–13,20,33,53.1,51.0,30.9,33.5,18.2,20.6,30.2,29.3,69.2,52.7,48.2,35.8,37.4,9.6,9.8,54.2,55.2,39.9,34.5,68.16,76.901,80.394,1.67,-0.524,-0.7,48.937,78.3,70.5,1.084,1.024,29.365,2019
37,Baylor,115.357,100.398,0.832,20–14,20,34,51.2,49.1,32.3,36.5,19.7,18.6,37.9,29.4,66.5,51.2,47.5,34.1,34.5,13.8,12.6,54.4,55.6,40.9,38.2,65.058,76.915,79.891,1.457,0.455,0.4,57.749,67.7,68.3,1.077,1.015,34.086,2019
38,Utah St.,112.374,97.82,0.831,27–7,27,34,53.9,46.5,36.7,34.3,18.2,17.3,32.0,22.3,69.8,54.2,42.2,35.7,35.3,12.3,9.3,61.9,50.6,38.0,39.9,68.115,77.916,80.436,1.314,-0.684,-0.7,9.835,75.0,71.3,1.116,0.958,17.15,2019
39,Iowa,116.824,101.84,0.829,23–12,23,35,52.7,51.5,42.3,28.8,17.2,18.4,29.8,29.4,70.1,51.4,53.5,36.4,32.4,9.0,7.9,59.2,57.7,39.0,41.2,69.387,78.354,81.123,1.504,0.468,0.379,55.647,73.9,69.0,1.106,1.043,33.335,2019
40,Ohio St.,108.596,95.028,0.823,20–15,20,35,50.3,48.3,33.7,31.8,18.7,18.2,27.6,25.9,66.7,49.7,47.9,34.1,32.7,7.0,9.2,58.9,50.1,40.1,37.4,65.652,76.691,79.478,1.46,0.556,0.393,56.419,73.4,74.1,1.032,0.989,35.112,2019
41,Minnesota,111.114,97.511,0.818,22–14,22,36,48.2,49.5,41.6,28.2,17.1,16.9,31.4,28.4,67.8,48.5,48.7,31.7,34.0,10.1,10.9,59.0,50.8,29.6,33.9,67.303,78.493,80.998,1.7,0.557,0.379,71.523,68.2,69.2,1.039,1.02,36.216,2019
42,New Mexico St.,112.853,99.199,0.815,28–5,28,33,54.1,48.9,34.6,32.5,17.8,19.1,37.0,22.5,67.7,56.7,48.0,34.0,33.5,7.7,5.8,52.8,38.6,46.3,39.4,65.587,75.434,79.174,2.0,-0.314,-0.514,13.806,67.6,70.9,1.141,0.959,12.521,2019
43,Belmont,115.917,102.03,0.813,26–6,26,32,57.6,48.7,28.5,27.4,15.2,16.0,25.3,25.0,74.0,59.2,47.2,37.0,34.4,9.1,10.2,61.4,44.4,43.8,34.5,70.98,77.45,81.377,1.44,-0.526,-0.607,6.407,73.5,69.3,1.158,1.001,15.583,2019
44,Washington,106.525,94.223,0.804,27–9,27,36,52.1,47.5,34.7,34.0,19.8,24.2,29.1,34.9,67.3,51.9,46.0,35.0,33.4,16.1,7.6,47.5,58.6,39.9,35.3,65.827,77.264,79.89,2.147,0.424,0.4,74.311,69.5,71.0,1.034,0.96,24.95,2019
45,Murray St.,111.46,99.622,0.784,26–5,26,31,54.8,46.5,33.5,27.4,17.2,19.4,32.0,30.7,71.2,56.2,48.3,34.9,28.9,11.1,9.5,58.5,45.4,36.6,35.8,68.725,77.219,79.736,1.497,0.472,0.486,8.231,73.4,71.9,1.138,0.968,14.229,2019
46,Temple,110.27,98.743,0.781,23–10,23,33,49.9,50.6,32.5,33.9,15.7,20.6,26.9,29.2,70.2,50.1,51.5,33.0,32.9,6.2,6.8,54.5,50.1,37.4,38.3,68.652,78.07,80.953,1.846,0.0,0.0,53.453,72.7,68.0,1.049,1.003,24.098,2019
47,Arizona St.,109.572,98.685,0.769,23–11,23,34,50.6,48.5,43.8,38.6,18.7,19.0,31.7,26.9,72.4,50.8,47.3,33.6,33.4,9.6,8.7,51.1,54.2,35.5,43.5,70.415,77.624,80.314,1.328,-0.363,-0.607,71.073,68.0,70.5,1.056,0.998,21.908,2019
48,Seton Hall,108.766,98.068,0.767,20–14,20,34,49.9,49.6,34.5,32.8,17.5,19.8,29.5,29.2,70.1,50.6,48.7,32.4,34.0,11.2,11.7,51.7,53.1,36.7,40.2,68.893,78.156,81.501,1.521,-0.366,-0.621,54.346,70.6,74.2,1.041,1.014,27.26,2019
49,UC Irvine,108.263,98.603,0.746,30–6,30,36,51.3,44.1,28.7,33.0,17.5,16.7,33.7,27.0,65.9,50.1,40.7,35.9,33.9,10.6,7.2,48.3,43.3,32.4,33.4,65.132,76.732,80.913,2.127,0.722,0.75,18.762,70.6,71.1,1.077,0.957,12.86,2019
50,Liberty,110.196,100.573,0.741,26–7,26,33,55.9,48.9,26.7,32.7,17.2,20.5,25.2,26.4,65.0,56.4,48.3,36.8,33.3,7.4,9.3,54.1,45.9,42.8,37.0,61.973,75.616,78.078,1.845,0.686,0.486,0.345,78.2,67.4,1.108,0.967,13.882,2019
51,Vermont,108.155,98.961,0.735,26–7,26,33,52.6,48.7,35.9,27.5,16.8,19.1,27.3,22.2,65.8,51.6,46.3,35.9,35.1,11.7,8.8,46.1,46.7,41.0,37.7,65.196,76.477,78.436,1.441,-0.284,-0.25,7.768,74.9,73.4,1.091,0.954,12.114,2019
52,Yale,111.583,103.535,0.703,21–8,21,29,55.6,47.3,30.1,31.1,17.8,15.2,26.3,24.6,72.6,56.0,47.8,36.5,31.0,11.1,7.8,55.9,48.5,35.3,37.8,70.65,77.204,80.354,2.113,-0.258,-0.164,15.117,73.5,73.4,1.096,1.004,16.125,2019
53,St. John's,108.307,100.62,0.7,21–13,21,34,51.9,50.7,29.5,39.7,14.3,21.2,21.8,29.4,72.5,50.7,50.3,35.8,34.2,9.8,6.4,49.9,53.9,38.5,42.2,70.832,76.611,78.569,1.716,0.0,0.0,75.394,71.9,71.0,1.052,1.019,23.018,2019
54,Northeastern,110.177,103.536,0.671,23–11,23,34,56.5,52.1,34.3,27.8,16.6,16.7,22.7,24.6,66.3,55.8,53.0,38.2,33.7,6.0,7.4,54.5,45.3,46.4,35.9,66.008,76.931,80.154,2.104,-0.199,-0.25,5.836,75.1,73.5,1.118,1.049,15.618,2019
55,Northern Kentucky,108.865,102.342,0.671,24–9,24,33,54.6,49.1,34.8,35.2,17.8,18.4,30.6,26.0,69.3,55.0,49.9,36.0,32.0,11.1,11.6,61.7,51.6,41.3,39.0,68.069,76.214,78.942,1.616,-0.075,-0.164,4.597,67.1,72.5,1.105,1.004,13.909,2019
56,Saint Louis,102.325,96.711,0.657,23–13,23,36,46.7,46.9,39.4,33.5,19.3,19.4,36.0,25.1,66.9,47.2,46.7,30.4,31.4,11.9,10.0,53.8,54.8,32.9,37.6,66.221,76.751,79.243,1.835,-0.147,-0.25,66.081,59.8,72.2,0.996,0.954,18.52,2019
57,Georgia St.,107.737,102.238,0.646,23–10,23,33,53.7,50.3,35.4,30.9,16.4,21.0,23.0,33.8,71.0,51.2,51.2,38.1,32.8,14.0,9.9,45.6,58.8,43.5,45.7,69.776,76.564,78.025,2.184,-0.117,-0.164,41.152,65.9,70.0,1.059,1.034,17.308,2019
58,Old Dominion,100.254,95.622,0.633,26–9,26,35,47.2,45.6,28.9,32.4,17.8,18.5,32.1,24.8,65.5,44.1,43.5,34.9,32.4,14.3,6.8,53.3,53.0,37.3,40.6,64.426,77.587,80.395,1.764,-0.097,-0.164,33.997,66.3,66.7,1.004,0.929,13.155,2019
59,Colgate,110.243,106.412,0.6,23–11,23,34,55.9,50.7,28.4,28.2,19.3,17.8,30.2,27.1,67.5,53.5,50.5,39.5,33.9,9.7,9.7,57.4,51.8,41.4,40.9,66.391,77.685,80.993,1.573,-0.089,-0.064,10.836,74.4,71.0,1.106,1.032,12.893,2019
60,Montana,107.338,104.14,0.586,24–9,24,33,56.1,50.1,31.6,37.3,17.3,19.2,27.4,24.9,68.3,55.6,49.3,37.8,34.4,8.0,8.3,52.1,45.2,38.3,36.1,66.537,76.224,78.903,2.401,-0.056,-0.064,19.258,69.5,74.7,1.107,1.012,11.627,2019
61,Bradley,102.129,101.537,0.517,19–15,19,34,49.7,47.6,36.3,35.6,18.8,18.4,26.7,26.7,65.9,46.5,46.5,37.0,32.8,11.4,7.4,52.3,53.2,35.3,39.4,64.985,76.734,80.105,1.997,-0.05,-0.064,3.589,69.1,72.8,1.003,0.99,13.451,2019
62,Abilene Christian,102.008,101.585,0.512,23–7,23,30,51.9,49.8,34.0,38.3,17.3,23.3,27.0,28.5,66.5,49.5,49.8,37.7,33.3,7.5,8.0,57.4,48.2,34.5,33.1,65.602,75.895,79.024,2.044,-0.053,-0.064,1.775,71.9,72.5,1.056,0.975,10.042,2019
63,Gardner Webb,107.083,107.577,0.487,20–12,20,32,54.8,50.5,38.3,27.6,17.1,18.2,22.4,31.3,68.2,53.6,50.4,37.7,33.7,7.4,8.9,51.6,53.9,37.6,44.9,67.232,75.143,77.391,1.73,-0.028,-0.007,0.2,71.6,72.2,1.077,1.051,15.247,2019
64,North Dakota St.,107.697,109.977,0.44,17–16,17,33,53.5,53.6,32.2,26.5,15.7,14.4,20.7,25.9,66.5,52.1,52.6,36.7,37.0,6.6,10.0,45.8,45.6,48.0,35.5,65.015,76.57,79.525,1.355,-0.03,-0.007,0.2,76.8,74.5,1.077,1.106,16.057,2019
65,Iona,106.348,109.673,0.412,17–16,17,33,53.0,52.3,36.8,28.5,17.3,18.5,25.1,30.7,71.4,53.2,50.3,35.1,36.6,7.7,11.2,50.4,55.4,44.5,42.4,70.408,76.777,80.321,2.012,-0.033,-0.007,7.379,74.5,68.4,1.075,1.065,11.211,2019
66,Prairie View A&M,102.876,106.503,0.402,21–13,21,34,49.0,51.2,43.1,46.2,17.4,24.7,29.7,34.3,72.5,49.2,53.7,32.4,31.2,4.6,11.3,48.6,51.7,33.8,36.0,70.712,75.167,77.955,2.382,0.0,0.0,1.736,68.2,69.3,1.033,1.007,9.615,2019
67,Fairleigh Dickinson,105.698,111.193,0.358,19–14,19,33,54.2,52.0,35.7,29.4,19.7,20.2,29.5,33.2,67.9,51.0,51.3,40.1,35.3,10.5,9.3,52.7,52.3,35.3,38.5,66.542,75.792,79.678,1.741,-0.014,-0.007,0.2,73.5,70.1,1.076,1.059,9.672,2019
68,North Carolina Central,99.202,109.08,0.251,15–16,15,31,49.9,49.9,33.5,31.4,22.7,17.5,34.8,26.9,67.0,51.3,50.9,31.5,32.0,6.9,10.8,59.8,52.4,36.6,34.1,64.863,75.64,78.992,2.331,0.0,0.0,4.547,70.8,69.2,1.01,1.014,9.349,2019
1,Kansas,120.7,85.3,0.982,9–0,9,9,52.6,41.7,31.4,29.9,15.3,17.6,30.1,27.9,69.6,52.0,39.6,35.9,30.3,13.1,9.3,52.9,53.1,30.8,34.9,69.9,77.142,80.111,2.082,2.887,2.65,77.998,72.4,70.8,1.107,0.899,41.677,2022
2,Texas Tech,113.9,81.8,0.978,4–2,4,6,53.8,45.6,24.9,34.5,18.0,22.0,28.6,24.0,66.7,53.4,48.0,36.4,28.5,13.3,5.6,51.8,55.7,31.4,44.2,67.1,78.314,80.053,2.456,-0.571,0.136,22.03,64.7,74.8,1.055,0.907,44.168,2022
3,Tennessee,117.0,84.1,0.978,4–1,4,5,54.2,43.3,25.0,33.5,15.5,20.1,26.7,27.5,65.8,50.5,45.1,40.4,26.6,6.3,6.5,70.4,53.8,36.1,34.9,66.5,76.747,81.038,1.362,-1.44,-0.864,69.805,69.4,77.8,1.1,0.921,37.207,2022
4,North Carolina,116.2,83.9,0.977,6–2,6,8,46.7,43.3,30.0,21.0,15.6,11.5,36.4,22.6,69.2,47.6,43.1,30.3,29.2,8.7,13.3,58.8,49.0,40.6,32.1,70.3,78.254,81.474,1.742,3.754,4.3,87.453,74.4,68.2,1.068,0.937,49.194,2022
5,Houston,117.3,86.9,0.969,6–1,6,7,51.4,42.1,31.9,33.3,15.8,19.5,38.2,30.4,62.4,53.3,45.3,32.2,24.8,12.6,5.3,59.2,63.0,37.7,40.1,61.7,77.41,80.47,2.179,0.44,1.886,51.79,68.3,75.0,1.126,0.929,43.045,2022
6,Virginia Tech,126.2,95.9,0.959,4–1,4,5,57.0,52.0,34.7,35.0,14.6,14.6,24.8,23.6,65.4,54.0,56.5,41.6,29.9,7.6,8.0,49.6,55.5,36.5,38.6,66.1,76.763,79.95,2.136,-0.848,-0.607,20.673,77.1,76.3,1.165,1.081,48.03,2022
7,Gonzaga,123.8,96.0,0.949,4–1,4,5,55.7,45.0,36.7,26.8,14.2,12.2,26.3,26.8,72.1,59.5,45.0,31.6,30.0,11.7,8.3,54.6,40.6,31.7,33.1,71.0,78.737,81.959,1.559,-1.154,-1.35,86.976,65.5,73.0,1.127,1.01,41.313,2022
8,Iowa,126.7,98.7,0.946,4–1,4,5,55.9,49.4,27.7,22.8,15.7,15.1,34.7,32.0,68.9,54.4,50.9,38.6,30.6,8.4,9.4,60.5,56.8,45.0,31.4,69.5,77.502,80.532,1.681,-1.964,-1.114,43.723,76.7,73.2,1.202,1.046,34.169,2022
9,Vermont,119.5,93.3,0.945,3–1,3,4,61.7,43.9,21.6,28.4,9.8,16.9,24.0,15.4,63.7,61.3,40.4,41.5,33.8,4.4,7.7,54.0,41.0,39.8,33.3,62.9,76.344,78.553,2.807,-0.509,-0.25,4.679,66.7,69.0,1.275,0.859,13.14,2022
10,Memphis,116.4,91.5,0.941,3–2,3,5,48.1,47.9,33.3,35.0,20.4,14.7,40.2,26.3,66.6,49.1,48.7,29.9,31.2,12.0,6.3,55.4,62.1,23.0,44.2,66.4,77.792,81.378,1.725,0.021,0.4,80.073,72.2,67.7,1.051,1.015,47.571,2022
11,Creighton,110.1,86.7,0.94,3–2,3,5,48.6,42.4,31.0,25.5,19.1,16.2,27.8,28.7,67.5,51.1,44.5,29.7,26.1,8.4,8.5,55.3,45.7,38.7,38.4,68.0,78.241,81.359,1.319,0.487,0.4,67.849,80.9,75.9,1.015,0.934,48.591,2022
12,Loyola Chicago,92.7,73.4,0.936,3–1,3,4,44.9,35.9,33.0,34.4,21.3,21.3,26.0,26.7,65.7,43.4,41.5,31.2,17.7,4.6,14.8,54.9,45.6,43.3,37.8,66.4,76.759,79.514,2.525,-0.678,-0.621,5.155,62.0,76.4,0.901,0.78,26.368,2022
13,Villanova,113.6,90.1,0.935,7–1,7,8,47.4,44.8,24.7,22.5,15.4,15.8,31.6,34.0,60.1,44.5,48.6,33.5,25.9,4.6,13.8,48.3,50.3,50.7,38.3,60.2,77.347,79.315,2.392,1.805,1.629,69.071,85.3,65.7,1.065,0.986,43.923,2022
14,TCU,108.5,86.1,0.935,2–2,2,4,47.6,47.2,39.5,26.1,21.0,18.5,37.3,25.9,66.7,47.0,50.0,32.8,28.4,12.3,9.8,51.0,56.1,28.1,37.6,65.7,77.933,80.572,1.734,0.042,0.4,65.515,65.6,67.2,1.0,0.95,54.543,2022
15,UCLA,120.1,95.5,0.933,4–2,4,6,50.4,48.9,26.3,28.2,12.8,16.0,27.6,27.6,62.5,49.2,48.5,35.8,33.1,9.2,8.6,48.1,44.2,28.0,39.9,62.9,77.88,80.205,2.209,0.001,0.464,79.66,82.0,77.2,1.107,1.04,41.268,2022
16,Saint Mary's,121.9,97.7,0.927,2–2,2,4,53.8,50.9,24.7,36.3,15.3,12.2,27.4,22.0,63.8,51.3,48.5,39.4,39.6,6.6,6.6,44.3,45.0,31.8,22.3,62.0,77.82,80.684,2.27,-0.116,-0.114,32.634,76.4,76.9,1.106,1.094,50.861,2022
17,New Mexico St.,110.4,89.3,0.92,3–1,3,4,49.0,41.9,35.0,33.0,22.0,17.3,31.3,27.5,63.7,44.9,43.5,36.4,26.4,10.5,5.1,57.6,59.0,42.7,42.3,63.0,78.058,80.361,2.364,0.558,0.486,16.577,79.2,81.7,1.016,0.933,32.037,2022
18,Duke,125.7,101.9,0.918,6–2,6,8,55.5,50.1,31.7,19.9,15.1,13.0,31.1,32.8,67.2,59.4,45.9,31.8,38.8,14.7,8.1,46.6,48.4,33.6,34.4,66.9,78.372,81.821,0.988,1.546,1.629,91.521,76.4,75.7,1.174,1.11,42.26,2022
